Time,VehicleID,RSU_ID
1.0,v_0,RSU_3
1.0,v_1,
1.0,v_2,RSU_3
2.0,v_0,RSU_3
2.0,v_1,
2.0,v_2,RSU_3
3.0,v_0,RSU_3
3.0,v_1,
3.0,v_2,RSU_3
4.0,v_0,RSU_3
4.0,v_1,
4.0,v_2,RSU_3
5.0,v_0,RSU_3
5.0,v_1,
5.0,v_2,RSU_3
6.0,v_0,RSU_3
6.0,v_1,RSU_3
6.0,v_2,RSU_3
7.0,v_0,RSU_3
7.0,v_1,RSU_2
7.0,v_2,RSU_3
8.0,v_0,RSU_3
8.0,v_1,RSU_2
8.0,v_2,RSU_3
9.0,v_0,RSU_3
9.0,v_1,RSU_2
9.0,v_2,RSU_3
10.0,v_0,RSU_3
10.0,v_1,RSU_2
10.0,v_2,RSU_3
11.0,v_0,RSU_3
11.0,v_1,RSU_3
11.0,v_2,RSU_3
12.0,v_0,RSU_3
12.0,v_1,RSU_3
12.0,v_2,RSU_3
13.0,v_0,RSU_3
13.0,v_1,RSU_3
13.0,v_2,RSU_3
14.0,v_0,RSU_3
14.0,v_1,RSU_3
14.0,v_2,RSU_3
15.0,v_0,RSU_3
15.0,v_1,RSU_3
15.0,v_2,RSU_3
16.0,v_0,RSU_3
16.0,v_1,RSU_3
16.0,v_2,RSU_3
17.0,v_0,RSU_3
17.0,v_1,RSU_3
17.0,v_2,RSU_3
18.0,v_0,RSU_3
18.0,v_1,RSU_3
18.0,v_2,RSU_3
19.0,v_0,RSU_3
19.0,v_1,RSU_3
19.0,v_2,RSU_3
20.0,v_0,RSU_3
20.0,v_1,RSU_3
20.0,v_2,RSU_3
21.0,v_0,RSU_3
21.0,v_1,RSU_3
21.0,v_2,RSU_3
22.0,v_0,RSU_3
22.0,v_1,RSU_3
22.0,v_2,RSU_3
23.0,v_0,RSU_3
23.0,v_1,RSU_3
23.0,v_2,RSU_3
24.0,v_0,RSU_3
24.0,v_1,RSU_3
24.0,v_2,RSU_3
25.0,v_0,RSU_3
25.0,v_1,RSU_3
25.0,v_2,RSU_3
26.0,v_0,RSU_3
26.0,v_1,RSU_3
26.0,v_2,RSU_3
27.0,v_0,RSU_3
27.0,v_1,RSU_3
27.0,v_2,RSU_3
28.0,v_0,RSU_3
28.0,v_1,RSU_3
28.0,v_2,RSU_3
29.0,v_0,RSU_3
29.0,v_1,RSU_3
29.0,v_2,RSU_3
30.0,v_0,RSU_3
30.0,v_1,RSU_3
30.0,v_2,RSU_3
31.0,v_0,RSU_3
31.0,v_1,RSU_3
31.0,v_2,RSU_3
32.0,v_0,RSU_3
32.0,v_1,RSU_3
32.0,v_2,RSU_3
33.0,v_0,RSU_3
33.0,v_1,RSU_3
33.0,v_2,RSU_3
34.0,v_0,RSU_3
34.0,v_1,RSU_3
34.0,v_2,RSU_3
35.0,v_0,RSU_3
35.0,v_1,RSU_3
35.0,v_2,RSU_3
36.0,v_0,RSU_3
36.0,v_1,RSU_3
36.0,v_2,RSU_3
37.0,v_0,RSU_3
37.0,v_1,RSU_3
37.0,v_2,RSU_3
38.0,v_0,RSU_3
38.0,v_1,RSU_3
38.0,v_2,RSU_3
39.0,v_0,RSU_3
39.0,v_1,RSU_3
39.0,v_2,RSU_3
40.0,v_0,RSU_3
40.0,v_1,RSU_3
40.0,v_2,RSU_3
41.0,v_0,RSU_3
41.0,v_1,RSU_3
41.0,v_2,RSU_2
42.0,v_0,RSU_3
42.0,v_1,RSU_3
42.0,v_2,RSU_2
43.0,v_0,RSU_3
43.0,v_1,RSU_3
43.0,v_2,RSU_2
44.0,v_0,RSU_3
44.0,v_1,RSU_3
44.0,v_2,RSU_2
45.0,v_0,RSU_3
45.0,v_1,RSU_3
45.0,v_2,RSU_3
46.0,v_0,RSU_3
46.0,v_1,RSU_3
46.0,v_2,
47.0,v_0,RSU_3
47.0,v_1,RSU_3
47.0,v_2,
48.0,v_0,RSU_3
48.0,v_1,RSU_3
48.0,v_2,
49.0,v_0,RSU_3
49.0,v_1,RSU_3
49.0,v_2,
50.0,v_0,RSU_3
50.0,v_1,RSU_3
50.0,v_2,
51.0,v_0,RSU_3
51.0,v_1,RSU_3
51.0,v_2,
52.0,v_0,RSU_3
52.0,v_1,RSU_3
52.0,v_2,
53.0,v_0,RSU_3
53.0,v_1,RSU_3
53.0,v_2,
54.0,v_0,RSU_3
54.0,v_1,
54.0,v_2,
55.0,v_0,RSU_3
55.0,v_1,
55.0,v_2,
56.0,v_0,RSU_3
56.0,v_1,
56.0,v_2,
57.0,v_0,RSU_3
57.0,v_1,
57.0,v_2,
58.0,v_0,RSU_3
58.0,v_1,
58.0,v_2,
59.0,v_0,RSU_3
59.0,v_1,
59.0,v_2,
60.0,v_0,RSU_3
60.0,v_1,
60.0,v_2,
61.0,v_0,RSU_3
61.0,v_1,
61.0,v_2,
62.0,v_0,RSU_3
62.0,v_1,
62.0,v_2,
63.0,v_0,RSU_3
63.0,v_1,
63.0,v_2,
64.0,v_0,RSU_3
64.0,v_1,
64.0,v_2,
65.0,v_0,RSU_3
65.0,v_1,
65.0,v_2,
66.0,v_0,RSU_3
66.0,v_1,
66.0,v_2,
67.0,v_0,RSU_3
67.0,v_1,
67.0,v_2,
68.0,v_0,RSU_3
68.0,v_1,
68.0,v_2,
69.0,v_0,RSU_3
69.0,v_1,
69.0,v_2,
70.0,v_0,RSU_3
70.0,v_1,
70.0,v_2,
71.0,v_0,RSU_3
71.0,v_1,
71.0,v_2,
72.0,v_0,RSU_3
72.0,v_1,
72.0,v_2,RSU_1
73.0,v_0,RSU_3
73.0,v_1,
73.0,v_2,RSU_1
74.0,v_0,RSU_3
74.0,v_1,RSU_2
74.0,v_2,RSU_1
75.0,v_0,RSU_3
75.0,v_1,RSU_2
75.0,v_2,RSU_1
76.0,v_0,RSU_3
76.0,v_1,RSU_2
76.0,v_2,RSU_1
77.0,v_0,RSU_3
77.0,v_1,RSU_2
77.0,v_2,RSU_1
78.0,v_0,RSU_3
78.0,v_1,RSU_2
78.0,v_2,RSU_1
79.0,v_0,RSU_3
79.0,v_1,RSU_2
79.0,v_2,RSU_1
80.0,v_0,RSU_3
80.0,v_1,RSU_2
80.0,v_2,RSU_1
81.0,v_0,RSU_3
81.0,v_1,RSU_2
81.0,v_2,RSU_1
82.0,v_0,
82.0,v_1,RSU_2
82.0,v_2,RSU_1
83.0,v_0,
83.0,v_1,RSU_2
83.0,v_2,RSU_1
84.0,v_0,
84.0,v_1,RSU_2
84.0,v_2,RSU_1
85.0,v_0,
85.0,v_1,RSU_2
85.0,v_2,RSU_1
86.0,v_0,
86.0,v_1,RSU_2
86.0,v_2,RSU_1
87.0,v_0,
87.0,v_1,RSU_2
87.0,v_2,RSU_1
88.0,v_0,
88.0,v_1,RSU_2
88.0,v_2,RSU_1
89.0,v_0,
89.0,v_1,RSU_2
89.0,v_2,RSU_1
90.0,v_0,
90.0,v_1,RSU_2
90.0,v_2,RSU_1
91.0,v_0,
91.0,v_1,RSU_2
91.0,v_2,RSU_1
92.0,v_0,RSU_4
92.0,v_1,RSU_2
92.0,v_2,RSU_1
93.0,v_0,RSU_4
93.0,v_1,RSU_2
93.0,v_2,RSU_1
94.0,v_0,RSU_4
94.0,v_1,RSU_2
94.0,v_2,RSU_1
95.0,v_0,RSU_4
95.0,v_1,RSU_2
95.0,v_2,RSU_1
96.0,v_0,RSU_4
96.0,v_1,RSU_2
96.0,v_2,RSU_1
97.0,v_0,RSU_4
97.0,v_1,RSU_2
97.0,v_2,RSU_1
98.0,v_0,RSU_4
98.0,v_1,RSU_2
98.0,v_2,RSU_1
99.0,v_0,RSU_4
99.0,v_1,RSU_2
99.0,v_2,RSU_1
100.0,v_0,RSU_4
100.0,v_1,RSU_2
100.0,v_2,RSU_1
101.0,v_0,RSU_4
101.0,v_1,RSU_2
101.0,v_2,RSU_1
102.0,v_0,RSU_4
102.0,v_1,RSU_2
102.0,v_2,RSU_1
103.0,v_0,RSU_4
103.0,v_1,RSU_2
103.0,v_2,RSU_1
104.0,v_0,RSU_4
104.0,v_1,RSU_2
104.0,v_2,RSU_1
105.0,v_0,RSU_4
105.0,v_1,RSU_2
105.0,v_2,RSU_1
106.0,v_0,RSU_4
106.0,v_1,RSU_2
106.0,v_2,RSU_1
107.0,v_0,RSU_4
107.0,v_1,RSU_2
107.0,v_2,RSU_1
108.0,v_0,RSU_4
108.0,v_1,RSU_2
108.0,v_2,RSU_1
109.0,v_0,RSU_4
109.0,v_1,RSU_2
109.0,v_2,RSU_1
110.0,v_0,RSU_4
110.0,v_1,RSU_2
110.0,v_2,RSU_1
111.0,v_0,RSU_4
111.0,v_1,RSU_2
111.0,v_2,RSU_1
112.0,v_0,RSU_4
112.0,v_1,RSU_2
112.0,v_2,RSU_1
113.0,v_0,RSU_4
113.0,v_1,RSU_2
113.0,v_2,RSU_1
114.0,v_0,RSU_4
114.0,v_1,RSU_2
114.0,v_2,RSU_1
115.0,v_0,RSU_4
115.0,v_1,RSU_2
115.0,v_2,RSU_1
116.0,v_0,RSU_4
116.0,v_1,RSU_2
116.0,v_2,RSU_1
117.0,v_0,RSU_4
117.0,v_1,RSU_2
117.0,v_2,RSU_1
118.0,v_0,RSU_4
118.0,v_1,RSU_2
118.0,v_2,RSU_1
119.0,v_0,RSU_4
119.0,v_1,RSU_2
119.0,v_2,RSU_1
120.0,v_0,RSU_4
120.0,v_1,RSU_2
120.0,v_2,RSU_1
121.0,v_0,RSU_4
121.0,v_1,RSU_2
121.0,v_2,RSU_1
122.0,v_0,RSU_4
122.0,v_1,RSU_2
122.0,v_2,RSU_1
123.0,v_0,RSU_4
123.0,v_1,RSU_2
123.0,v_2,RSU_1
124.0,v_0,RSU_4
124.0,v_1,RSU_2
124.0,v_2,RSU_1
125.0,v_0,RSU_4
125.0,v_1,RSU_2
125.0,v_2,RSU_1
126.0,v_0,RSU_4
126.0,v_1,RSU_2
126.0,v_2,RSU_1
127.0,v_0,RSU_4
127.0,v_1,RSU_2
127.0,v_2,RSU_1
128.0,v_0,RSU_4
128.0,v_1,RSU_2
128.0,v_2,RSU_1
129.0,v_0,RSU_4
129.0,v_1,RSU_2
129.0,v_2,RSU_1
130.0,v_0,RSU_4
130.0,v_1,RSU_2
130.0,v_2,RSU_1
131.0,v_0,RSU_4
131.0,v_1,RSU_2
131.0,v_2,RSU_1
132.0,v_0,RSU_4
132.0,v_1,RSU_2
132.0,v_2,RSU_1
133.0,v_0,RSU_4
133.0,v_1,RSU_2
133.0,v_2,RSU_1
134.0,v_0,RSU_4
134.0,v_1,RSU_2
134.0,v_2,RSU_1
135.0,v_0,RSU_4
135.0,v_1,RSU_2
135.0,v_2,RSU_1
136.0,v_0,RSU_4
136.0,v_1,RSU_2
136.0,v_2,RSU_1
137.0,v_0,RSU_4
137.0,v_1,RSU_2
137.0,v_2,RSU_1
138.0,v_0,RSU_4
138.0,v_1,RSU_2
138.0,v_2,RSU_1
139.0,v_0,RSU_4
139.0,v_1,RSU_2
139.0,v_2,RSU_1
140.0,v_0,RSU_4
140.0,v_1,
140.0,v_2,RSU_1
141.0,v_0,RSU_4
141.0,v_1,
141.0,v_2,RSU_1
142.0,v_0,RSU_4
142.0,v_1,
142.0,v_2,RSU_1
143.0,v_0,RSU_4
143.0,v_1,RSU_6
143.0,v_2,RSU_1
144.0,v_0,RSU_4
144.0,v_1,RSU_6
144.0,v_2,RSU_1
145.0,v_0,RSU_4
145.0,v_1,RSU_6
145.0,v_2,RSU_1
146.0,v_0,RSU_4
146.0,v_1,RSU_6
146.0,v_2,RSU_1
147.0,v_0,RSU_4
147.0,v_1,RSU_6
147.0,v_2,RSU_1
148.0,v_0,RSU_4
148.0,v_1,RSU_6
148.0,v_2,RSU_1
149.0,v_0,RSU_4
149.0,v_1,RSU_6
149.0,v_2,RSU_1
150.0,v_0,RSU_4
150.0,v_1,RSU_6
150.0,v_2,RSU_1
151.0,v_0,RSU_4
151.0,v_1,RSU_6
151.0,v_2,RSU_1
152.0,v_0,RSU_4
152.0,v_1,RSU_6
152.0,v_2,RSU_1
153.0,v_0,RSU_4
153.0,v_1,RSU_6
153.0,v_2,RSU_1
154.0,v_0,RSU_4
154.0,v_1,RSU_6
154.0,v_2,RSU_1
155.0,v_0,RSU_4
155.0,v_1,RSU_6
155.0,v_2,
156.0,v_0,RSU_4
156.0,v_1,RSU_6
156.0,v_2,
157.0,v_0,RSU_4
157.0,v_1,RSU_6
157.0,v_2,
158.0,v_0,
158.0,v_1,RSU_6
158.0,v_2,
159.0,v_0,
159.0,v_1,RSU_6
159.0,v_2,
160.0,v_0,
160.0,v_1,RSU_6
160.0,v_2,
161.0,v_0,RSU_3
161.0,v_1,RSU_6
161.0,v_2,
162.0,v_0,RSU_3
162.0,v_1,RSU_6
162.0,v_2,
163.0,v_0,RSU_3
163.0,v_1,RSU_6
163.0,v_2,
164.0,v_0,RSU_3
164.0,v_1,RSU_6
164.0,v_2,
165.0,v_0,RSU_3
165.0,v_1,RSU_6
165.0,v_2,RSU_5
166.0,v_0,RSU_3
166.0,v_1,RSU_6
166.0,v_2,RSU_5
167.0,v_0,RSU_3
167.0,v_1,RSU_6
167.0,v_2,RSU_5
168.0,v_0,RSU_3
168.0,v_1,RSU_6
168.0,v_2,RSU_5
169.0,v_0,RSU_3
169.0,v_1,RSU_6
169.0,v_2,RSU_5
170.0,v_0,RSU_3
170.0,v_1,RSU_6
170.0,v_2,RSU_5
171.0,v_0,RSU_3
171.0,v_1,RSU_6
171.0,v_2,RSU_5
172.0,v_0,RSU_3
172.0,v_1,RSU_6
172.0,v_2,RSU_5
173.0,v_0,RSU_3
173.0,v_1,RSU_6
173.0,v_2,RSU_5
174.0,v_0,RSU_3
174.0,v_1,RSU_6
174.0,v_2,RSU_5
175.0,v_0,RSU_3
175.0,v_1,RSU_6
175.0,v_2,RSU_5
176.0,v_0,RSU_3
176.0,v_1,RSU_6
176.0,v_2,RSU_5
177.0,v_0,RSU_3
177.0,v_1,RSU_6
177.0,v_2,RSU_5
178.0,v_0,RSU_3
178.0,v_1,RSU_6
178.0,v_2,RSU_5
179.0,v_0,RSU_3
179.0,v_1,RSU_6
179.0,v_2,RSU_5
180.0,v_0,RSU_3
180.0,v_1,RSU_6
180.0,v_2,RSU_5
181.0,v_0,RSU_3
181.0,v_1,RSU_6
181.0,v_2,RSU_5
182.0,v_0,RSU_3
182.0,v_1,RSU_6
182.0,v_2,RSU_5
183.0,v_0,RSU_3
183.0,v_1,RSU_6
183.0,v_2,RSU_5
184.0,v_0,RSU_3
184.0,v_1,RSU_6
184.0,v_2,RSU_5
185.0,v_0,RSU_3
185.0,v_1,RSU_6
185.0,v_2,RSU_5
186.0,v_0,RSU_3
186.0,v_1,RSU_6
186.0,v_2,
187.0,v_0,RSU_3
187.0,v_1,RSU_6
187.0,v_2,
188.0,v_0,RSU_3
188.0,v_1,RSU_6
188.0,v_2,
189.0,v_0,RSU_3
189.0,v_1,RSU_6
189.0,v_2,
190.0,v_0,RSU_3
190.0,v_1,RSU_6
190.0,v_2,RSU_4
191.0,v_0,RSU_3
191.0,v_1,RSU_6
191.0,v_2,RSU_4
192.0,v_0,RSU_3
192.0,v_1,RSU_6
192.0,v_2,RSU_4
193.0,v_0,RSU_3
193.0,v_1,RSU_6
193.0,v_2,RSU_4
194.0,v_0,RSU_3
194.0,v_1,RSU_6
194.0,v_2,RSU_4
195.0,v_0,RSU_3
195.0,v_1,RSU_6
195.0,v_2,RSU_4
196.0,v_0,RSU_3
196.0,v_1,RSU_6
196.0,v_2,RSU_4
197.0,v_0,RSU_3
197.0,v_1,RSU_6
197.0,v_2,RSU_4
198.0,v_0,RSU_3
198.0,v_1,RSU_6
198.0,v_2,RSU_4
199.0,v_0,RSU_3
199.0,v_1,RSU_6
199.0,v_2,RSU_4
200.0,v_0,RSU_3
200.0,v_1,RSU_6
200.0,v_2,RSU_4
201.0,v_0,RSU_3
201.0,v_1,RSU_6
201.0,v_2,RSU_4
202.0,v_0,RSU_3
202.0,v_1,RSU_6
202.0,v_2,RSU_4
203.0,v_0,RSU_3
203.0,v_1,RSU_6
203.0,v_2,RSU_4
204.0,v_0,RSU_3
204.0,v_1,RSU_6
204.0,v_2,RSU_4
205.0,v_0,RSU_3
205.0,v_1,RSU_0
205.0,v_2,RSU_4
206.0,v_0,RSU_3
206.0,v_1,RSU_0
206.0,v_2,RSU_4
207.0,v_0,RSU_3
207.0,v_1,RSU_0
207.0,v_2,RSU_4
208.0,v_0,RSU_3
208.0,v_1,RSU_0
208.0,v_2,RSU_4
209.0,v_0,RSU_3
209.0,v_1,RSU_0
209.0,v_2,RSU_4
210.0,v_0,RSU_3
210.0,v_1,RSU_0
210.0,v_2,RSU_4
211.0,v_0,RSU_3
211.0,v_1,RSU_0
211.0,v_2,RSU_4
212.0,v_0,RSU_3
212.0,v_1,RSU_0
212.0,v_2,RSU_4
213.0,v_0,RSU_3
213.0,v_1,RSU_0
213.0,v_2,RSU_4
214.0,v_0,RSU_3
214.0,v_1,RSU_0
214.0,v_2,RSU_4
215.0,v_0,RSU_3
215.0,v_1,RSU_0
215.0,v_2,RSU_4
216.0,v_0,RSU_3
216.0,v_1,RSU_0
216.0,v_2,RSU_4
217.0,v_0,RSU_3
217.0,v_1,RSU_0
217.0,v_2,RSU_4
218.0,v_0,RSU_3
218.0,v_1,RSU_0
218.0,v_2,RSU_4
219.0,v_0,RSU_3
219.0,v_1,RSU_0
219.0,v_2,RSU_4
220.0,v_0,
220.0,v_1,RSU_0
220.0,v_2,RSU_4
221.0,v_0,
221.0,v_1,RSU_0
221.0,v_2,RSU_4
222.0,v_0,
222.0,v_1,RSU_0
222.0,v_2,RSU_4
223.0,v_0,
223.0,v_1,RSU_0
223.0,v_2,RSU_4
224.0,v_0,
224.0,v_1,RSU_0
224.0,v_2,RSU_4
225.0,v_0,
225.0,v_1,RSU_0
225.0,v_2,RSU_4
226.0,v_0,
226.0,v_1,RSU_0
226.0,v_2,RSU_4
227.0,v_0,
227.0,v_1,RSU_0
227.0,v_2,RSU_4
228.0,v_0,
228.0,v_1,RSU_0
228.0,v_2,RSU_4
229.0,v_0,
229.0,v_1,RSU_0
229.0,v_2,RSU_4
230.0,v_0,
230.0,v_1,RSU_0
230.0,v_2,RSU_4
231.0,v_0,RSU_2
231.0,v_1,RSU_0
231.0,v_2,RSU_4
232.0,v_0,RSU_2
232.0,v_1,RSU_0
232.0,v_2,RSU_4
233.0,v_0,RSU_2
233.0,v_1,RSU_0
233.0,v_2,RSU_4
234.0,v_0,RSU_2
234.0,v_1,RSU_0
234.0,v_2,RSU_4
235.0,v_0,RSU_2
235.0,v_1,RSU_0
235.0,v_2,RSU_4
236.0,v_0,RSU_2
236.0,v_1,RSU_0
236.0,v_2,RSU_4
237.0,v_0,RSU_2
237.0,v_1,RSU_0
237.0,v_2,RSU_4
238.0,v_0,RSU_2
238.0,v_1,RSU_0
238.0,v_2,RSU_4
239.0,v_0,RSU_2
239.0,v_1,RSU_0
239.0,v_2,RSU_4
240.0,v_0,RSU_2
240.0,v_1,RSU_0
240.0,v_2,RSU_4
241.0,v_0,RSU_2
241.0,v_1,RSU_0
241.0,v_2,RSU_4
242.0,v_0,RSU_2
242.0,v_1,RSU_0
242.0,v_2,RSU_4
243.0,v_0,RSU_2
243.0,v_1,RSU_0
243.0,v_2,RSU_4
244.0,v_0,RSU_2
244.0,v_1,RSU_0
244.0,v_2,RSU_4
245.0,v_0,RSU_2
245.0,v_1,RSU_0
245.0,v_2,RSU_4
246.0,v_0,RSU_2
246.0,v_1,RSU_0
246.0,v_2,RSU_4
247.0,v_0,RSU_2
247.0,v_1,RSU_0
247.0,v_2,RSU_4
248.0,v_0,RSU_2
248.0,v_1,RSU_0
248.0,v_2,RSU_4
249.0,v_0,RSU_2
249.0,v_1,RSU_0
249.0,v_2,RSU_4
250.0,v_0,RSU_2
250.0,v_1,RSU_0
250.0,v_2,RSU_4
251.0,v_0,RSU_2
251.0,v_1,RSU_0
251.0,v_2,
252.0,v_0,RSU_2
252.0,v_1,RSU_0
252.0,v_2,
253.0,v_0,RSU_2
253.0,v_1,RSU_0
253.0,v_2,
254.0,v_0,RSU_2
254.0,v_1,RSU_0
254.0,v_2,
255.0,v_0,RSU_2
255.0,v_1,RSU_0
255.0,v_2,
256.0,v_0,RSU_2
256.0,v_1,RSU_0
256.0,v_2,
257.0,v_0,RSU_2
257.0,v_1,RSU_0
257.0,v_2,
258.0,v_0,RSU_2
258.0,v_1,RSU_0
258.0,v_2,
259.0,v_0,RSU_2
259.0,v_1,RSU_0
259.0,v_2,
260.0,v_0,RSU_2
260.0,v_1,RSU_0
260.0,v_2,RSU_3
261.0,v_0,RSU_2
261.0,v_1,RSU_0
261.0,v_2,RSU_3
262.0,v_0,RSU_2
262.0,v_1,RSU_0
262.0,v_2,RSU_3
263.0,v_0,RSU_2
263.0,v_1,RSU_0
263.0,v_2,RSU_3
264.0,v_0,RSU_2
264.0,v_1,RSU_0
264.0,v_2,RSU_3
265.0,v_0,RSU_2
265.0,v_1,RSU_0
265.0,v_2,RSU_3
266.0,v_0,RSU_2
266.0,v_1,RSU_0
266.0,v_2,RSU_3
267.0,v_0,RSU_2
267.0,v_1,RSU_0
267.0,v_2,RSU_3
268.0,v_0,RSU_2
268.0,v_1,RSU_0
268.0,v_2,RSU_3
269.0,v_0,RSU_2
269.0,v_1,RSU_0
269.0,v_2,RSU_3
270.0,v_0,RSU_2
270.0,v_1,RSU_0
270.0,v_2,RSU_3
271.0,v_0,RSU_2
271.0,v_1,
271.0,v_2,RSU_3
272.0,v_0,RSU_2
272.0,v_1,
272.0,v_2,RSU_3
273.0,v_0,RSU_2
273.0,v_1,
273.0,v_2,RSU_3
274.0,v_0,RSU_2
274.0,v_1,
274.0,v_2,RSU_3
275.0,v_0,RSU_2
275.0,v_1,
275.0,v_2,RSU_3
276.0,v_0,RSU_2
276.0,v_1,
276.0,v_2,RSU_3
277.0,v_0,RSU_2
277.0,v_1,
277.0,v_2,RSU_3
278.0,v_0,RSU_2
278.0,v_1,
278.0,v_2,RSU_3
279.0,v_0,RSU_2
279.0,v_1,
279.0,v_2,RSU_3
280.0,v_0,RSU_2
280.0,v_1,
280.0,v_2,RSU_3
281.0,v_0,RSU_2
281.0,v_1,
281.0,v_2,RSU_3
282.0,v_0,RSU_2
282.0,v_1,
282.0,v_2,RSU_3
283.0,v_0,RSU_2
283.0,v_1,
283.0,v_2,RSU_3
284.0,v_0,RSU_2
284.0,v_1,
284.0,v_2,RSU_3
285.0,v_0,RSU_2
285.0,v_1,
285.0,v_2,RSU_3
286.0,v_0,RSU_2
286.0,v_1,
286.0,v_2,RSU_3
287.0,v_0,RSU_2
287.0,v_1,
287.0,v_2,RSU_3
288.0,v_0,RSU_2
288.0,v_1,
288.0,v_2,RSU_3
289.0,v_0,RSU_2
289.0,v_1,
289.0,v_2,RSU_3
290.0,v_0,RSU_2
290.0,v_1,
290.0,v_2,RSU_3
291.0,v_0,RSU_2
291.0,v_1,
291.0,v_2,RSU_3
292.0,v_0,RSU_2
292.0,v_1,
292.0,v_2,RSU_3
293.0,v_0,RSU_2
293.0,v_1,
293.0,v_2,RSU_3
294.0,v_0,RSU_2
294.0,v_1,
294.0,v_2,RSU_3
295.0,v_0,RSU_2
295.0,v_1,
295.0,v_2,RSU_3
296.0,v_0,RSU_2
296.0,v_1,
296.0,v_2,RSU_3
297.0,v_0,RSU_2
297.0,v_1,
297.0,v_2,RSU_3
298.0,v_0,RSU_2
298.0,v_1,
298.0,v_2,RSU_3
299.0,v_0,RSU_2
299.0,v_1,
299.0,v_2,RSU_3
300.0,v_0,RSU_2
300.0,v_1,RSU_7
300.0,v_2,RSU_3
301.0,v_0,RSU_2
301.0,v_1,RSU_7
301.0,v_2,RSU_3
302.0,v_0,RSU_2
302.0,v_1,RSU_7
302.0,v_2,RSU_3
303.0,v_0,RSU_2
303.0,v_1,RSU_7
303.0,v_2,RSU_3
304.0,v_0,RSU_2
304.0,v_1,RSU_7
304.0,v_2,RSU_3
305.0,v_0,RSU_2
305.0,v_1,RSU_7
305.0,v_2,RSU_3
306.0,v_0,RSU_2
306.0,v_1,RSU_7
306.0,v_2,RSU_3
307.0,v_0,RSU_2
307.0,v_1,RSU_7
307.0,v_2,RSU_3
308.0,v_0,RSU_2
308.0,v_1,RSU_7
308.0,v_2,RSU_3
309.0,v_0,RSU_2
309.0,v_1,RSU_7
309.0,v_2,RSU_3
310.0,v_0,RSU_2
310.0,v_1,RSU_7
310.0,v_2,RSU_3
311.0,v_0,RSU_2
311.0,v_1,RSU_7
311.0,v_2,RSU_3
312.0,v_0,RSU_2
312.0,v_1,RSU_7
312.0,v_2,RSU_3
313.0,v_0,RSU_2
313.0,v_1,RSU_7
313.0,v_2,RSU_3
314.0,v_0,RSU_2
314.0,v_1,RSU_7
314.0,v_2,RSU_3
315.0,v_0,RSU_2
315.0,v_1,RSU_7
315.0,v_2,RSU_3
316.0,v_0,RSU_2
316.0,v_1,RSU_7
316.0,v_2,RSU_3
317.0,v_0,RSU_2
317.0,v_1,RSU_7
317.0,v_2,RSU_3
318.0,v_0,RSU_2
318.0,v_1,RSU_7
318.0,v_2,RSU_3
319.0,v_0,RSU_2
319.0,v_1,RSU_7
319.0,v_2,RSU_3
320.0,v_0,RSU_2
320.0,v_1,RSU_7
320.0,v_2,RSU_3
321.0,v_0,RSU_2
321.0,v_1,RSU_7
321.0,v_2,RSU_3
322.0,v_0,RSU_2
322.0,v_1,RSU_7
322.0,v_2,RSU_3
323.0,v_0,RSU_2
323.0,v_1,RSU_7
323.0,v_2,RSU_3
324.0,v_0,RSU_2
324.0,v_1,RSU_7
324.0,v_2,RSU_3
325.0,v_0,RSU_2
325.0,v_1,RSU_7
325.0,v_2,RSU_3
326.0,v_0,RSU_2
326.0,v_1,RSU_7
326.0,v_2,RSU_3
327.0,v_0,RSU_2
327.0,v_1,RSU_7
327.0,v_2,RSU_3
328.0,v_0,RSU_2
328.0,v_1,RSU_7
328.0,v_2,RSU_3
329.0,v_0,RSU_2
329.0,v_1,RSU_7
329.0,v_2,RSU_3
330.0,v_0,RSU_2
330.0,v_1,RSU_7
330.0,v_2,RSU_3
331.0,v_0,RSU_2
331.0,v_1,RSU_7
331.0,v_2,RSU_3
332.0,v_0,RSU_2
332.0,v_1,RSU_7
332.0,v_2,RSU_3
333.0,v_0,RSU_2
333.0,v_1,RSU_7
333.0,v_2,RSU_3
334.0,v_0,RSU_2
